Account,date,daily_pnl,trade_count,closed_trades,winning_trades,avg_size_usd,total_size_usd,max_size_usd,long_trades,short_trades,total_fee,win_rate,long_ratio,net_pnl_after_fees,sentiment_score,sentiment,sentiment_binary,size_seg,freq_seg,winner_seg
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,177,0,0,5089.718248587571,900880.13,59999.96,0,177,167.796055,0.0,0.0,-167.796055,76,Extreme Greed,Greed,High-Size,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,68,0,0,7976.664411764705,542413.1799999999,65882.09,0,68,67.883615,0.0,0.0,-67.883615,90,Extreme Greed,Greed,High-Size,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,40,0,0,23734.5,949380.0,665771.71,0,40,94.93798300000002,0.0,0.0,-94.93798300000002,83,Extreme Greed,Greed,High-Size,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,12,12,0,28186.666666666668,338240.0,78852.88,12,0,33.823995,0.0,1.0,-21260.823995,94,Extreme Greed,Greed,High-Size,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,27,12,12,17248.14814814815,465700.0,132297.77,12,15,104.62249,1.0,0.4444444444444444,1498.47751,79,Extreme Greed,Greed,High-Size,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,82,82,0,16058.536341463414,1316799.98,87610.64,82,0,131.679967,0.0,1.0,-132402.679967,77,Extreme Greed,Greed,High-Size,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,23,0,0,48561.68565217392,1116918.77,382727.69,0,23,390.921553,0.0,0.0,-390.921553,84,Extreme Greed,Greed,High-Size,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,33,33,0,36736.36242424243,1212299.96,814524.17,33,0,121.229992,0.0,1.0,-175732.23004800003,72,Greed,Greed,High-Size,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,465,112,23,11410.954021505377,5306093.62,225637.33,112,353,780.33644,0.20535714285714285,0.24086021505376345,70613.627658,77,Extreme Greed,Greed,High-Size,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,51,28,28,9400.588039215687,479429.99,156962.3,28,23,23.971493,1.0,0.5490196078431373,40194.628505,76,Extreme Greed,Greed,High-Size,Frequent,Inconsistent
